"gID";"T";"x";"y";"itemInCraneID"
0;7761.0;895;85;null
1;7761.0;1015;5;null
0;7943.0;-15;5;null
0;7953.0;-15;5;2641
0;7969.0;65;55;2641
0;7979.0;65;55;null
1;7979.0;1015;5;null
0;7995.0;-15;5;null
0;8005.0;-15;5;2642
0;8161.0;765;25;2642
0;8171.0;765;25;null
1;8171.0;1015;5;null
0;8327.0;-15;5;null
0;8337.0;-15;5;2643
0;8457.0;585;75;2643
0;8467.0;585;75;null
1;8467.0;1015;5;null
0;8587.0;-15;5;null
0;8597.0;-15;5;2644
0;8693.0;465;45;2644
0;8703.0;465;45;null
1;8703.0;1015;5;null
0;8799.0;-15;5;null
0;8809.0;-15;5;2645
0;8919.0;535;15;2645
0;8929.0;535;15;null
1;8929.0;1015;5;null
0;9039.0;-15;5;null
0;9049.0;-15;5;2646
0;9153.0;505;95;2646
0;9163.0;505;95;null
1;9163.0;1015;5;null
1;9265.0;505;95;null
0;9267.0;-15;5;null
1;9275.0;505;95;2646
0;9277.0;-15;5;2647
1;9377.0;1015;5;2646
1;9387.0;1015;5;null
0;9433.0;765;65;2647
1;9433.0;785;65;null
0;9443.0;765;65;null
1;9443.0;785;65;null
1;9555.0;225;95;null
1;9565.0;225;95;2616
0;9599.0;-15;5;null
0;9609.0;-15;5;2648
0;9659.0;235;35;2648
0;9669.0;235;35;null
0;9719.0;-15;5;null
1;9723.0;1015;5;2616
0;9729.0;-15;5;2649
1;9733.0;1015;5;null
0;9915.0;915;5;2649
1;9915.0;935;5;null
0;9925.0;915;5;null
1;9925.0;935;5;null
0;10077.0;155;55;null
1;10077.0;175;55;null
1;10077.0;175;55;null
0;10087.0;155;55;null
1;10087.0;175;55;2601
0;10255.0;995;5;null
1;10255.0;1015;5;2601
0;10265.0;995;5;null
1;10265.0;1015;5;null
0;10353.0;555;75;null
1;10353.0;575;75;null
1;10353.0;575;75;null
0;10363.0;555;75;null
1;10363.0;575;75;2633
0;10451.0;995;5;null
1;10451.0;1015;5;2633
0;10461.0;995;5;null
1;10461.0;1015;5;null
0;10493.0;835;85;null
1;10493.0;855;85;null
1;10493.0;855;85;null
